ID,Name,Typings,Stats,Abilities,Evolution_condition,Rarity,Region
0001,Bulbasaur,Grass Poison,"{'Total': '318', 'HP': '45', 'Attack': '49', 'Defense': '49', 'Sp. Atk': '65', 'Sp. Def': '65', 'Speed': '45'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0002,Ivysaur,Grass Poison,"{'Total': '405', 'HP': '60', 'Attack': '62', 'Defense': '63', 'Sp. Atk': '80', 'Sp. Def': '80', 'Speed': '60'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0003,Venusaur,Grass Poison,"{'Total': '525', 'HP': '80', 'Attack': '82', 'Defense': '83', 'Sp. Atk': '100', 'Sp. Def': '100', 'Speed': '80'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0003,Venusaur Mega Venusaur,Grass Poison,"{'Total': '625', 'HP': '80', 'Attack': '100', 'Defense': '123', 'Sp. Atk': '122', 'Sp. Def': '120', 'Speed': '80'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0004,Charmander,Fire ,"{'Total': '309', 'HP': '39', 'Attack': '52', 'Defense': '43', 'Sp. Atk': '60', 'Sp. Def': '50', 'Speed': '65'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0005,Charmeleon,Fire ,"{'Total': '405', 'HP': '58', 'Attack': '64', 'Defense': '58', 'Sp. Atk': '80', 'Sp. Def': '65', 'Speed': '80'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0006,Charizard,Fire Flying,"{'Total': '534', 'HP': '78', 'Attack': '84', 'Defense': '78', 'Sp. Atk': '109', 'Sp. Def': '85', 'Speed': '100'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0006,Charizard Mega Charizard X,Fire Dragon,"{'Total': '634', 'HP': '78', 'Attack': '130', 'Defense': '111', 'Sp. Atk': '130', 'Sp. Def': '85', 'Speed': '100'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0006,Charizard Mega Charizard Y,Fire Flying,"{'Total': '634', 'HP': '78', 'Attack': '104', 'Defense': '78', 'Sp. Atk': '159', 'Sp. Def': '115', 'Speed': '100'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0007,Squirtle,Water ,"{'Total': '314', 'HP': '44', 'Attack': '48', 'Defense': '65', 'Sp. Atk': '50', 'Sp. Def': '64', 'Speed': '43'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0008,Wartortle,Water ,"{'Total': '405', 'HP': '59', 'Attack': '63', 'Defense': '80', 'Sp. Atk': '65', 'Sp. Def': '80', 'Speed': '58'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0009,Blastoise,Water ,"{'Total': '530', 'HP': '79', 'Attack': '83', 'Defense': '100', 'Sp. Atk': '85', 'Sp. Def': '105', 'Speed': '78'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0009,Blastoise Mega Blastoise,Water ,"{'Total': '630', 'HP': '79', 'Attack': '103', 'Defense': '120', 'Sp. Atk': '135', 'Sp. Def': '115', 'Speed': '78'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0010,Caterpie,Bug ,"{'Total': '195', 'HP': '45', 'Attack': '30', 'Defense': '35', 'Sp. Atk': '20', 'Sp. Def': '20', 'Speed': '45'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0011,Metapod,Bug ,"{'Total': '205', 'HP': '50', 'Attack': '20', 'Defense': '55', 'Sp. Atk': '25', 'Sp. Def': '25', 'Speed': '30'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0012,Butterfree,Bug Flying,"{'Total': '395', 'HP': '60', 'Attack': '45', 'Defense': '50', 'Sp. Atk': '90', 'Sp. Def': '80', 'Speed': '70'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0013,Weedle,Bug Poison,"{'Total': '195', 'HP': '40', 'Attack': '35', 'Defense': '30', 'Sp. Atk': '20', 'Sp. Def': '20', 'Speed': '50'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0014,Kakuna,Bug Poison,"{'Total': '205', 'HP': '45', 'Attack': '25', 'Defense': '50', 'Sp. Atk': '25', 'Sp. Def': '25', 'Speed': '35'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0015,Beedrill,Bug Poison,"{'Total': '395', 'HP': '65', 'Attack': '90', 'Defense': '40', 'Sp. Atk': '45', 'Sp. Def': '80', 'Speed': '75'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0015,Beedrill Mega Beedrill,Bug Poison,"{'Total': '495', 'HP': '65', 'Attack': '150', 'Defense': '40', 'Sp. Atk': '15', 'Sp. Def': '80', 'Speed': '145'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0016,Pidgey,Normal Flying,"{'Total': '251', 'HP': '40', 'Attack': '45', 'Defense': '40', 'Sp. Atk': '35', 'Sp. Def': '35', 'Speed': '56'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0017,Pidgeotto,Normal Flying,"{'Total': '349', 'HP': '63', 'Attack': '60', 'Defense': '55', 'Sp. Atk': '50', 'Sp. Def': '50', 'Speed': '71'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0018,Pidgeot,Normal Flying,"{'Total': '479', 'HP': '83', 'Attack': '80', 'Defense': '75', 'Sp. Atk': '70', 'Sp. Def': '70', 'Speed': '101'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0018,Pidgeot Mega Pidgeot,Normal Flying,"{'Total': '579', 'HP': '83', 'Attack': '80', 'Defense': '80', 'Sp. Atk': '135', 'Sp. Def': '80', 'Speed': '121'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0019,Rattata,Normal ,"{'Total': '253', 'HP': '30', 'Attack': '56', 'Defense': '35', 'Sp. Atk': '25', 'Sp. Def': '35', 'Speed': '72'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0019,Rattata Alolan Rattata,Dark Normal,"{'Total': '253', 'HP': '30', 'Attack': '56', 'Defense': '35', 'Sp. Atk': '25', 'Sp. Def': '35', 'Speed': '72'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0020,Raticate,Normal ,"{'Total': '413', 'HP': '55', 'Attack': '81', 'Defense': '60', 'Sp. Atk': '50', 'Sp. Def': '70', 'Speed': '97'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0020,Raticate Alolan Raticate,Dark Normal,"{'Total': '413', 'HP': '75', 'Attack': '71', 'Defense': '70', 'Sp. Atk': '40', 'Sp. Def': '80', 'Speed': '77'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0021,Spearow,Normal Flying,"{'Total': '262', 'HP': '40', 'Attack': '60', 'Defense': '30', 'Sp. Atk': '31', 'Sp. Def': '31', 'Speed': '70'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0022,Fearow,Normal Flying,"{'Total': '442', 'HP': '65', 'Attack': '90', 'Defense': '65', 'Sp. Atk': '61', 'Sp. Def': '61', 'Speed': '100'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0023,Ekans,Poison ,"{'Total': '288', 'HP': '35', 'Attack': '60', 'Defense': '44', 'Sp. Atk': '40', 'Sp. Def': '54', 'Speed': '55'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0024,Arbok,Poison ,"{'Total': '448', 'HP': '60', 'Attack': '95', 'Defense': '69', 'Sp. Atk': '65', 'Sp. Def': '79', 'Speed': '80'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0025,Pikachu,Electric ,"{'Total': '320', 'HP': '35', 'Attack': '55', 'Defense': '40', 'Sp. Atk': '50', 'Sp. Def': '50', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0025,Pikachu Partner Pikachu,Electric ,"{'Total': '430', 'HP': '45', 'Attack': '80', 'Defense': '50', 'Sp. Atk': '75', 'Sp. Def': '60', 'Speed': '120'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0026,Raichu,Electric ,"{'Total': '485', 'HP': '60', 'Attack': '90', 'Defense': '55', 'Sp. Atk': '90', 'Sp. Def': '80', 'Speed': '110'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0026,Raichu Alolan Raichu,Electric Psychic,"{'Total': '485', 'HP': '60', 'Attack': '85', 'Defense': '50', 'Sp. Atk': '95', 'Sp. Def': '85', 'Speed': '110'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0027,Sandshrew,Ground ,"{'Total': '300', 'HP': '50', 'Attack': '75', 'Defense': '85', 'Sp. Atk': '20', 'Sp. Def': '30', 'Speed': '40'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0027,Sandshrew Alolan Sandshrew,Ice Steel,"{'Total': '300', 'HP': '50', 'Attack': '75', 'Defense': '90', 'Sp. Atk': '10', 'Sp. Def': '35', 'Speed': '40'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0028,Sandslash,Ground ,"{'Total': '450', 'HP': '75', 'Attack': '100', 'Defense': '110', 'Sp. Atk': '45', 'Sp. Def': '55', 'Speed': '65'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0028,Sandslash Alolan Sandslash,Ice Steel,"{'Total': '450', 'HP': '75', 'Attack': '100', 'Defense': '120', 'Sp. Atk': '25', 'Sp. Def': '65', 'Speed': '65'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0029,Nidoran♀,Poison ,"{'Total': '275', 'HP': '55', 'Attack': '47', 'Defense': '52', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '41'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
